,,,,LUNI,,,,,,,MARTI,,,,,,,MIERCURI,,,,,,,JOI,,,,,,,VINERI,,,,,,,SÂMBATA,,,,,,,
Anul,Spec.,Grupa,Sgr.,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,AF-S-PI1- Majercsik_L,LMC-S-PII2- Majercsik_L,Germana-S-PI1- Serbu_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF233,A,Germana-C-PIII2- Serbu_C,AM-C-PIII1- Dimitriu_M,FAI-C-PIII1- Manea_A_L,PE-C-PIII2- Beldianu_I,,,,,FAI-S-PI2- Manea_A_L,RCSS-S-PI2- Soica_S,FP-L-PII4- Spridon_D_E,,,,,,,,,,,PE-S-PII1- Stoica_R,,RCSS-C-PIII2- Soica_S,LMC-C-PIII1- Ciupala_L_A,AF-C-PIII1- Baicoianu_A,FP-C-PIII1- Deaconu_A_M,,,AM-S-PI1- Dimitriu_M,AF-L-PP5- Popa_I_I,AF-S-PP5- Popa_I_I,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,LMC-S-PP5- Majercsik_L,,Germana-S-PI2- Serbu_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,Germana-C-PIII2- Serbu_C,,,,,,,,,RCSS-S-PI2- Soica_S,,,,,,,,,,,,,,RCSS-C-PIII2- Soica_S,,,,,,,,AF-S-PP5- Popa_I_I,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,LMC-S-PP5- Majercsik_L,,Germana-S-PI2- Serbu_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF234,A,Germana-C-PIII2- Serbu_C,AM-C-PIII1- Dimitriu_M,FAI-C-PIII1- Manea_A_L,PE-C-PIII2- Beldianu_I,,,,LMC-S-PP5- Majercsik_L,AM-S-PP6- Dimitriu_M,Germana-S-PI1- Serbu_C,,,,,,,,,,,,PE-S-PII1- Stoica_R,,RCSS-C-PIII2- Soica_S,LMC-C-PIII1- Ciupala_L_A,AF-C-PIII1- Baicoianu_A,FP-C-PIII1- Deaconu_A_M,,,FAI-S-PII1- Manea_A_L,FP-L-PII5- Spridon_D_E,,AF-L-PP5- Popa_I_I,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,RCSS-S-PI1- Soica_S,,,,,,,,,,,,,,,,,,,,,,AF-S-PP5- Popa_I_I,,,,,,,,,,,
,,,B,Germana-C-PIII2- Serbu_C,,,,,,,LMC-S-PP5- Majercsik_L,,Germana-S-PI1- Serbu_C,,,,,,,,,,,,,,RCSS-C-PIII2- Soica_S,,,,,,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,RCSS-S-PI1- Soica_S,,,,,,,,,,,,,,,,,,,,,,AF-S-PP5- Popa_I_I,,,,,,,,,,,
1.0,IA,10LF331,A,Engleza-C-PIII1- Schwab_A,AM-C-PIII1- Dimitriu_M,FAI-C-PIII1- Manea_A_L,PE-C-PIII2- Beldianu_I,,,,PE-S-PIII2- Stoica_R,RCSS-L-PII3- Sasu_A,Engleza-S-PP1- Schwab_A,LMC-S-PII1- Majercsik_L,AF-S-PP5- Popa_I_I,,,AF-L-PII5- Majercsik_L,AM-S-PII1- Dimitriu_M,FAI-S-PI1- Manea_A_L,FP-L-PII4- Duca_D_M,,,,RCSS-C-PI2- Sasu_A,,,LMC-C-PIII1- Ciupala_L_A,AF-C-PIII1- Baicoianu_A,FP-C-PIII1- Deaconu_A_M,,,,,,,,,,,,,,,,
